starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 08 12:00:32 2017	1486555232	0	1000	1000	1000
Wed Feb 08 12:00:29 2017	1486555229	0	1000	1000	1000
Wed Feb 08 12:00:29 2017	1486555229	0	1000	1000	1000
Wed Feb 08 12:00:36 2017	1486555236	0	1000	1001	1000
Wed Feb 08 12:00:28 2017	1486555228	0	1000	1001	1000
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1000
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1000
Wed Feb 08 12:00:35 2017	1486555235	0	1001	1001	1000
Wed Feb 08 12:00:35 2017	1486555235	0	1001	1001	1001
Wed Feb 08 12:00:29 2017	1486555229	0	1001	1001	1001
Wed Feb 08 12:00:32 2017	1486555232	0	1001	1001	1000
Wed Feb 08 12:00:29 2017	1486555229	0	1001	1001	1001
Wed Feb 08 12:00:29 2017	1486555229	0	1001	1001	1001
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1001
Wed Feb 08 12:00:29 2017	1486555229	0	1001	1001	1001
Wed Feb 08 12:00:35 2017	1486555235	0	1001	1001	1001
Wed Feb 08 12:00:28 2017	1486555228	0	1001	1001	1001
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1001
Wed Feb 08 12:00:32 2017	1486555232	0	1001	1001	1001
Wed Feb 08 12:00:32 2017	1486555232	0	1001	1001	1001
Wed Feb 08 12:00:34 2017	1486555234	0	1001	1001	1001
Wed Feb 08 12:00:33 2017	1486555233	0	1001	1001	1001
Wed Feb 08 12:00:34 2017	1486555234	0	1001	1001	1001
Wed Feb 08 12:00:34 2017	1486555234	0	1001	1001	1001
Wed Feb 08 12:00:35 2017	1486555235	0	1001	1001	1001
Wed Feb 08 12:00:31 2017	1486555231	0	1001	1001	1001
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1001
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1001
Wed Feb 08 12:00:30 2017	1486555230	0	1001	1001	1001
Wed Feb 08 12:00:34 2017	1486555234	0	1001	1001	1001
Wed Feb 08 12:00:28 2017	1486555228	0	1001	1001	1001
Wed Feb 08 12:00:34 2017	1486555234	0	1001	1001	1001
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1001
Wed Feb 08 12:00:30 2017	1486555230	0	1001	1001	1001
Wed Feb 08 12:00:33 2017	1486555233	0	1001	1001	1001
Wed Feb 08 12:00:27 2017	1486555227	0	1001	1001	1001
Wed Feb 08 12:00:29 2017	1486555229	0	1001	1001	1001
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1001
Wed Feb 08 12:00:29 2017	1486555229	0	1001	1001	1001
Wed Feb 08 12:00:29 2017	1486555229	0	1001	1001	1001
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1001
Wed Feb 08 12:00:34 2017	1486555234	0	1001	1001	1001
Wed Feb 08 12:00:35 2017	1486555235	0	1001	1001	1001
Wed Feb 08 12:00:33 2017	1486555233	0	1001	1001	1001
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1001
Wed Feb 08 12:00:35 2017	1486555235	0	1001	1001	1001
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1001
Wed Feb 08 12:00:28 2017	1486555228	0	1001	1001	1001
Wed Feb 08 12:00:28 2017	1486555228	0	1001	1001	1001
Wed Feb 08 12:00:29 2017	1486555229	0	1001	1001	1001
Wed Feb 08 12:00:28 2017	1486555228	0	1001	1001	1001
Wed Feb 08 12:00:29 2017	1486555229	0	1001	1001	1001
Wed Feb 08 12:00:28 2017	1486555228	0	1001	1001	1001
Wed Feb 08 12:00:33 2017	1486555233	0	1001	1001	1001
Wed Feb 08 12:00:34 2017	1486555234	0	1001	1001	1001
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1001
Wed Feb 08 12:00:27 2017	1486555227	0	1001	1001	1001
Wed Feb 08 12:00:29 2017	1486555229	0	1001	1001	1001
Wed Feb 08 12:00:30 2017	1486555230	0	1001	1001	1001
Wed Feb 08 12:00:35 2017	1486555235	0	1001	1001	1001
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1001	1001
Wed Feb 08 12:00:32 2017	1486555232	0	1001	1001	1001
Wed Feb 08 12:00:33 2017	1486555233	0	1001	1001	1001
Wed Feb 08 12:00:32 2017	1486555232	0	1001	1001	1001
Wed Feb 08 12:00:33 2017	1486555233	0	1001	1001	1001
Wed Feb 08 12:00:34 2017	1486555234	0	1001	1002	1001
Wed Feb 08 12:00:36 2017	1486555236	0	1001	1002	1001
